製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,12,,,,,
計測開始時刻 ,00/00/00 00:08 ,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
245,0.2187,0.7904,0.2763,-1.176,,0.2187
246,0.1072,0.7904,0.2763,-1.176,,0.1072
247,-0.0081,0.8161,0.2635,-1.176,,0.0081
248,-0.0428,0.829,0.2635,-1.1889,,0.0428
249,-0.1079,0.829,0.2635,-1.176,,0.1079
250,-0.0699,0.8418,0.2763,-1.1503,,0.0699
251,-0.0631,0.8418,0.2635,-1.1375,,0.0631
252,-0.0782,0.8547,0.2635,-1.1503,,0.0782
253,-0.096,0.8676,0.2635,-1.176,,0.096
254,-0.1429,0.8676,0.2635,-1.1375,,0.1429
255,-0.1767,0.8804,0.2635,-1.1503,,0.1767
256,-0.183,0.8933,0.2635,-1.1246,,0.183
257,-0.1507,0.8933,0.2635,-1.1375,,0.1507
258,-0.177,0.8933,0.2635,-1.1118,,0.177
259,-0.1708,0.8933,0.2506,-1.1246,,0.1708
260,-0.1203,0.9061,0.2506,-1.1246,,0.1203
261,-0.0384,0.9061,0.2635,-1.1246,,0.0384
262,-0.0445,0.919,0.2506,-1.1246,,0.0445
263,-0.0401,0.9575,0.2506,-1.1246,,0.0401
264,-0.0261,0.9447,0.2506,-1.1246,,0.0261
265,-0.0206,0.9318,0.2378,-1.0989,,0.0206
266,-0.018,0.9447,0.2635,-1.0732,,0.018
267,-0.0307,0.9447,0.2378,-1.0732,,0.0307
268,0.0457,0.9575,0.2506,-1.086,,0.0457
269,0.131,0.9575,0.2378,-1.086,,0.131
270,0.2405,0.9575,0.2378,-1.086,,0.2405
271,0.2994,0.9575,0.2249,-1.0603,,0.2994
272,0.311,0.9447,0.2378,-1.0732,,0.311
273,0.2928,0.9318,0.2249,-1.0603,,0.2928
274,0.3104,0.9318,0.2249,-1.0732,,0.3104
275,0.2485,0.9318,0.2249,-1.0603,,0.2485
276,0.0876,0.9318,0.2249,-1.0732,,0.0876
277,0.0207,0.9447,0.2249,-1.086,,0.0207
278,0.02,0.9575,0.1992,-1.0732,,0.02
279,-0.0204,0.9318,0.1864,-1.0732,,0.0204
280,-0.1315,0.9318,0.1992,-1.0732,,0.1315
281,-0.0823,0.9318,0.1992,-1.0989,,0.0823
282,-0.0593,0.919,0.2121,-1.0989,,0.0593
283,-0.0056,0.9061,0.1864,-1.0732,,0.0056
284,-0.0144,0.9061,0.1864,-1.0732,,0.0144
285,-0.0368,0.9061,0.1607,-1.086,,0.0368
286,0.0012,0.8933,0.1478,-1.0732,,0.0012
287,0.0259,0.8933,0.1607,-1.086,,0.0259
288,0.0965,0.919,0.1478,-1.086,,0.0965
289,0.1585,0.8933,0.1478,-1.086,,0.1585
290,0.0683,0.8676,0.135,-1.1118,,0.0683
291,0.0343,0.8676,0.1221,-1.1118,,0.0343
292,-0.0171,0.8804,0.1221,-1.1118,,0.0171
293,-0.0503,0.8804,0.135,-1.086,,0.0503
294,-0.0902,0.8676,0.1092,-1.1118,,0.0902
295,-0.1328,0.8804,0.1092,-1.1118,,0.1328
296,-0.1451,0.8676,0.1092,-1.1118,,0.1451
297,-0.1416,0.8676,0.1221,-1.1118,,0.1416
298,-0.1015,0.8804,0.1221,-1.1246,,0.1015
299,-0.0968,0.8804,0.1221,-1.1503,,0.0968
300,-0.0636,0.8804,0.1221,-1.1632,,0.0636
301,-0.0357,0.8804,0.1221,-1.176,,0.0357
302,-0.0047,0.9061,0.135,-1.2017,,0.0047
303,0.049,0.9061,0.135,-1.2017,,0.049
304,0.135,0.8933,0.135,-1.2274,,0.135
305,0.1554,0.8933,0.1478,-1.2274,,0.1554
306,0.1485,0.9061,0.1607,-1.2403,,0.1485
307,0.1931,0.9061,0.1735,-1.2788,,0.1931
308,0.2072,0.9447,0.1735,-1.2917,,0.2072
309,0.1482,0.9447,0.1864,-1.2917,,0.1482
